id,Local Date,Local Time,Username,Product ID,Version,Type,Event
96,1/30/2017,5:47:13 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 6204.93 (ms)"
97,1/30/2017,5:47:13 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
98,1/30/2017,5:47:59 PM,"Abhishek",DBM C#,1122,"App","Program Started"
99,1/30/2017,5:48:00 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
100,1/30/2017,5:48:02 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5032.67 (ms)"
101,1/30/2017,5:48:02 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
102,1/30/2017,5:48:38 PM,"Abhishek",DBM C#,1122,"App","Program Started"
103,1/30/2017,5:48:38 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
104,1/30/2017,5:48:40 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 4782.77 (ms)"
105,1/30/2017,5:48:40 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
106,1/30/2017,5:48:57 PM,"Abhishek",DBM C#,1122,"App","Program Started"
107,1/30/2017,5:48:57 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
108,1/30/2017,5:49:00 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5046.56 (ms)"
109,1/30/2017,5:49:00 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
110,2/6/2017,5:49:48 PM,"Abhishek",DBM C#,1122,"App","Program Started"
111,2/6/2017,5:49:49 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
112,2/6/2017,5:49:51 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5155.99 (ms)"
113,2/6/2017,5:49:51 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
114,2/6/2017,5:52:48 PM,"Abhishek",DBM C#,1122,"App","Program Started"
115,2/6/2017,5:52:48 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
116,2/6/2017,5:52:51 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5509.79 (ms)"
117,2/6/2017,5:52:53 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
118,2/6/2017,5:54:28 PM,"Abhishek",DBM C#,1122,"App","Program Started"
119,2/6/2017,5:54:28 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
120,2/6/2017,5:55:23 PM,"Abhishek",DBM C#,1122,"App","Program Started"
121,2/6/2017,5:55:24 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
122,2/6/2017,5:55:26 PM,"Abhishek",DBM C#,1122,"Exception","URI isn't accessable or incorrect Parameters given."
123,2/6/2017,5:55:26 PM,"Abhishek",DBM C#,1122,"System","LDDataBase.Command : SQL logic error or missing database
near ""t"": syntax error"
123,2/6/2017,5:59:02 PM,"Abhishek",DBM C#,1122,"App","Program Started"
124,2/6/2017,5:59:02 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
125,2/6/2017,5:59:58 PM,"Abhishek",DBM C#,1122,"App","Program Started"
126,2/6/2017,5:59:59 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
127,2/6/2017,6:01:53 PM,"Abhishek",DBM C#,1122,"App","Program Started"
128,2/6/2017,6:01:53 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
129,2/6/2017,6:01:55 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5313.90 (ms)"
130,2/6/2017,6:01:56 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
131,2/6/2017,6:02:49 PM,"Abhishek",DBM C#,1122,"App","Program Started"
132,2/6/2017,6:02:49 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
133,2/6/2017,6:02:51 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5072.00 (ms)"
134,2/6/2017,6:02:51 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
135,2/6/2017,6:03:52 PM,"Abhishek",DBM C#,1122,"App","Program Started"
136,2/6/2017,6:03:52 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
137,2/6/2017,6:03:54 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 4975.13 (ms)"
138,2/6/2017,6:03:54 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
139,2/6/2017,6:04:04 PM,"Abhishek",DBM C#,1122,"App","Program Started"
140,2/6/2017,6:04:04 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
141,2/6/2017,6:04:07 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 4228.87 (ms)"
142,2/6/2017,6:04:07 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
143,2/6/2017,6:04:37 PM,"Abhishek",DBM C#,1122,"App","Program Started"
144,2/6/2017,6:04:37 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
145,2/6/2017,6:04:39 PM,"Abhishek",DBM C#,1122,"UI","Startup Time: 5166.64 (ms)"
146,2/6/2017,6:04:39 PM,"Abhishek",DBM C#,1122,"UI","Debug Mode is ON"
147,2/6/2017,6:05:56 PM,"Abhishek",DBM C#,1122,"App","Program Started"
148,2/6/2017,6:05:57 PM,"Abhishek",DBM C#,1122,"Debug","Start up GUI"
